title,ingredients,instructions,food_types,description,average_rating,minutes,n_ingredients,n_steps,score
a bit different  breakfast pizza,"prepared pizza crust, sausage patty, eggs, milk, salt and pepper, cheese",preheat oven to 425 degrees f. press dough into the bottom and sides of a 12 inch pizza pan. bake for 5 minutes until set but not browned. cut sausage into small pieces. whisk eggs and milk in a bowl until frothy. spoon sausage over baked crust and sprinkle with cheese. pour egg mixture slowly over sausage and cheese. s& p to taste. bake 15-20 minutes or until eggs are set and crust is brown,Healthy,this recipe calls for the crust to be prebaked a bit before adding ingredients. feel free to change sausage to ham or bacon. this warms well in the microwave for those late risers.,3.5,30,6,9,3.923123037
beat this  banana bread,"sugar, unsalted butter, bananas, eggs, fresh lemon juice, orange rind, cake flour, baking soda, salt","preheat oven to 350 degrees. butter two 9x5"" loaf pans. cream the sugar and the butter until light and whipped. add the bananas , eggs , lemon juice , orange rind. beat until blended uniformly. be patient , and beat until the banana lumps are gone. sift the dry ingredients together. fold lightly and thoroughly into the banana mixture. pour the batter into prepared loaf pans. bake for 45 to 55 minutes , until the loaves are firm in the middle and the edges begin to pull away from the pans. cool the loaves on racks for 30 minutes before removing from the pans. freezes well",Non-Veg dessert,from ann hodgman's ,4.4,70,9,12,4.376109366
better than sex  strawberries,"vanilla wafers, butter, powdered sugar, eggs, whipping cream, strawberry, walnuts","crush vanilla wafers into fine crumbs and line a square 8"" x8"" pan. mix butter or margarine and sugar. add beaten eggs. spread the mixture over the wafer crumbs. crush strawberries and spread over sugar , egg , and butter mixture. cover strawberries with whipped cream. sprinkle with chopped nuts. chill 24 hours",Non-Veg dessert,"simple but sexy. this was in my local newspaper's food section. cook time reflects refrigeration time.  i've been asked several times if this should be baked.  just to clarify, no, it is not, it is a refrigerator dessert. i'm not sure why it contains raw egg, but most tiramisu recipes do too.",3.8,1460,7,8,4.042776033
better then bush s  baked beans,"great northern bean, chicken bouillon cubes, dark brown sugar, molasses, cornstarch, onion, garlic powder, mustard powder, chili powder, salt, black pepper, bacon, water","in a very large sauce pan cover the beans and bouillon cubes in 3 inches of water. bring to a boil , cover , and let sit for 1 1 / 2 hours. preheat oven to 350 degrees f. drain and pour beans into a 9'x11' pan. add the rest over the ingredients , stir , and bake until all the water has evaporated , about 3 hours. remove from oven , cover , and let sit overnight. preheat oven to 350 degrees f. add the next 5 cups of water , and bake until all the water has evaporated , about 3 hours. serving suggestions: challah bread , steak , hamburgers",Veg dessert,"i'd have to say that this is a labor of love dish, but i give you my word that this recipe is better than bush's. enjoy! oh, and also this recipe is easily doubled. in fact, i think it turns out better when it is.",3.9,2970,13,9,4.027498878
chicken lickin  good  pork chops,"lean pork chops, flour, salt, dry mustard, garlic powder, oil, chicken rice soup","dredge pork chops in mixture of flour , salt , dry mustard and garlic powder. brown in oil in a large skillet. place browned pork chops in a crock pot. add the can of soup , undiluted. cover and cook on low for 6-8 hours",Healthy,here's and old standby i enjoy from time to time. it's from an old newspaper clipping i cut out years ago. very tasty.,4.368421053,500,7,5,4.364564535
chile rellenos,"egg roll wrap, whole green chilies, cheese, cornstarch, oil","drain green chiles. sprinkle cornstarch on sheet pan. open up chile and place on egg roll wrapper with corner facing you. place cheese stick on chile and roll up , tucking in corners and moistening edges to seal. toss in cornstarch , dusting liberally. shake off excess cornstarch and deep fry in 350 oil to cover until lightly golden and cheese just starts to ooze out. drain on paper towels and keep warm in 250 oven. serve as a side dish or appetizer with your favorite mexican meal. add your favorite condi- ments / sauces",Healthy,"a favorite from a local restaurant no longer in business. not an authentic mexican chile relleno, but a crispy, flaky version.",4.045454545,45,5,9,4.091730165
chinese  candy,"butterscotch chips, chinese noodles, salted peanuts",melt butterscotch chips in heavy saucepan over low heat. fold in peanuts and chinese noodles until coated. drop by tablespoon onto waxed paper. let stand in cool place until firm,Healthy,"a little different, and oh so good. i include these when making up candy trays, as gifts, at christmas time.",4.833333333,15,3,4,4.711561518
chinese  chop suey,"celery, onion, ground pork, soy sauce, beef broth, cooking oil, hamburger buns","brown ground meat and onion in a large pot. add 1 / 4 cup of soy sauce. thinly slice the entire bunch of celery , including the leaves. add beef broth and celery. bring to a boil. reduce heat and simmer until celery is tender. add more soy sauce if needed , to taste. serve as an open face sandwich over a hamburger bun",Non-veg,easy one-pot dinner. ,2.0,70,7,8,3.173123037
easiest ever  hollandaise sauce,"butter, lemon, juice of, salt, white pepper, egg yolks","cut the butter into several pieces and bring to room temperature. in the top of a double boiler , combine egg yolks , lemon juice , salt and pepper. add a piece of butter. cook , stirring steadily with a wooden spoon or wire whisk , over , but not touching , boiling water. when butter melts and sauce begins to thicken , add remaining butter , stirring constantly until melted. continue cooking as sauce thickens , about 2 more minutes. immediately remove from heat",Non-veg,"the secret to this easy hollandaise sauce is in separating the egg yolks. remove all the egg whites, as they can thin the sauce. also, it is best prepared in a double boiler to prevent overheating. serve over cooked asparagus, broccoli, or broiled tomatoes.",3.5,25,5,7,3.923123037
fool the meat eaters  chili,"vegetarian ground beef, garlic, onion, jalapenos, green pepper, celery, kidney beans, diced tomatoes, chili powder, black pepper, salt, red pepper flakes","rehydrate tvp if needed. spray or oil a large pot. chop the onion , hot peppers , and garlic and add to the pot. chop remaining vegetables , add to pot and brown lightly. add remaining ingredients. stir well and simmer at least 15 minutes. taste adjust spices to taste. simmer an additional 15 minutes or so. serve with garlic bread , toast , or on rice",Healthy,"this recipe was adapted by my mother and myself from meat chili. we fed it to my dad and only told him afterwards it wasn't meat - he couldn't tell the difference! this is a fast and filling meal and is even better, cold or warm, the next day! i serve leftovers with tortilla chips or in a wrap. also good with sour cream and/or cheese on top.",4.5,40,12,9,4.423123037
